bearing_code,condition_code,repetition,speed_rpm,torque_nm,radial_force_n,detected_fundamental_hz,phase1_mean_square,phase1_rms,phase1_peak_abs,phase1_crest_factor,phase1_kurtosis,phase1_mag_h1,phase1_mag_h2,phase1_mag_h3,phase1_mag_h4,phase1_mag_h5,phase1_bpfo_sideband_k1,phase1_bpfo_sideband_k2,phase1_bpfi_sideband_k1,phase1_bpfi_sideband_k2,phase1_bsf_sideband_k1,phase1_bsf_sideband_k2,phase1_ftf_sideband_k1,phase1_ftf_sideband_k2,phase2_mean_square,phase2_rms,phase2_peak_abs,phase2_crest_factor,phase2_kurtosis,phase2_mag_h1,phase2_mag_h2,phase2_mag_h3,phase2_mag_h4,phase2_mag_h5,phase2_bpfo_sideband_k1,phase2_bpfo_sideband_k2,phase2_bpfi_sideband_k1,phase2_bpfi_sideband_k2,phase2_bsf_sideband_k1,phase2_bsf_sideband_k2,phase2_ftf_sideband_k1,phase2_ftf_sideband_k2
K001,N09_M07_F10,1,899.7119806948217,1.199860600336994,1025.9239033002798,60.05692636562925,2.744728715365312,1.6567222806992463,2.8770413188994457,1.7365863623715763,-1.4935226944601971,0.9915485098315835,0.004724875280118496,0.0030472759534930526,0.0024742299674967716,0.00832414455091489,0.002747762144375672,0.0006659220136151657,0.0008275926980899885,0.0003784367711518378,0.0037413041425448375,0.0235056184965726,0.01951740260351538,0.008252479370194667,2.7825190839468856,1.6680884520752746,2.76959136779858,1.6603384337041132,-1.4942154828422147,0.9980764153820164,0.008621686805100889,0.0014486930073816554,0.003910907353597353,0.008217752855164125,0.0021560937675788195,0.0012102683837681995,0.001448339767112963,0.0009850266926153311,0.003788095225244327,0.07476601148146718,0.01900637600216718,0.008038285720486005
K001,N09_M07_F10,10,899.7926594440473,1.2355859242123737,1015.8599143634765,60.10724529243048,2.908633683745802,1.7054716895175368,2.9259448222850954,1.7156220418486219,-1.4943034101614567,0.772705742281694,0.005951377461309797,0.0022040053735054004,0.003249583966894758,0.007838792688254522,0.0033738809612725955,0.0009599008761875452,0.0010799382324938305,0.000582215590205555,0.005176786722533634,0.026474919207109645,0.025375277294193237,0.011567587102192413,2.9421380925676877,1.715266187088082,3.0946963480524796,1.8042076333972303,-1.4943891692521447,0.776779505417509,0.01031937175865544,0.0013044671092942255,0.003480005060016967,0.007153260398193358,0.003006398722681331,0.0011687477703545895,0.0015427697968466991,0.0008693369791081616,0.005531720885523845,0.07953297028718681,0.024966603550492527,0.010949556703439887
K001,N09_M07_F10,11,899.7940595337185,1.2366497479218745,1016.0835675831602,59.977508434337125,2.914140834495985,1.7070854795516202,2.898393552772053,1.6978608203810273,-1.4944258161795128,1.2034317224458861,0.004603092491661038,0.00315706769640473,0.0030432100513841805,0.011321999757551604,0.000797848051272932,0.0003098977942066066,0.00029225165229303246,0.00023462178541782327,0.002774264334382989,0.02283783906382834,0.0034247623906565362,0.0015696028395799765,2.9465535894171007,1.716552821621607,2.7964538555737963,1.6291102844898298,-1.494616102307711,1.2087972992214706,0.010200862638469527,0.00047512158148388747,0.004794577692494881,0.010642536874316837,0.0004867071920085805,0.0002735110346386833,0.00039100453192517223,0.0002156909333994069,0.0039809403989333235,0.08206086605082334,0.0033504128568283523,0.0030423551282835453
K001,N09_M07_F10,12,899.8027526896516,1.236485464658424,1017.1744510833427,60.0,2.9113531485511635,1.7062687796918643,2.9121691875285745,1.70674703903009,-1.4936310490850593,1.1987548876338296,0.004574049247802729,0.0029838848571957684,0.0022802717780502613,0.010261172731266534,0.0008507541286417825,0.0002640829661699243,0.0003343831497301741,0.0002455642992302368,0.003123550200538714,0.024395021368832637,0.004504503857208274,0.0024994446455876103,2.9450346011455584,1.7161103114734666,2.8102294903303178,1.637557604276284,-1.4943561560802368,1.2043068066871538,0.009919063303293996,0.00040366595296356173,0.004097888997917219,0.009555837246016252,0.0006456127659905005,0.00034043198514536495,0.00040531527198295716,0.00036840753573187467,0.004626199326840615,0.08354451363883629,0.004504380419152537,0.003341034006054975
K001,N09_M07_F10,13,899.7578782343564,1.2371976052288112,1017.2820378954727,60.0,2.916098906055615,1.7076588962833341,2.9128579692664003,1.7057610132832406,-1.4941024164465764,1.1965502595070159,0.004888525344057749,0.0027088880759470655,0.0025058586916160332,0.009843346663549862,0.0007331640449788658,0.0004987627011672972,0.0005735160944806495,0.00029936649638250695,0.002535502343661938,0.022395054804783782,0.0053219046582798895,0.002408652697909277,2.947163481198021,1.7167304625939452,2.8446685772216207,1.6570269120310148,-1.4940814469561998,1.2014623724306905,0.009731887319716252,0.0006104524414794088,0.003300539081969939,0.009031495386981166,0.0009479604668753044,0.00029641377345194673,0.00030368755036423365,0.0002313968923921961,0.0039541102174830275,0.0848935814606395,0.005706208176472649,0.003908766181838314
K001,N09_M07_F10,14,899.747211534563,1.2379255264093332,1017.9763075524768,59.999531253662084,2.9190033368167483,1.7085090976687096,2.928699949236399,1.7141845795452078,-1.494657969550141,1.1963174971762864,0.00448716491281116,0.003269663276040085,0.002817480700548593,0.009772430474369202,0.000755569186061342,0.0004600846761385817,0.0005620996522852174,0.000385114458575537,0.002074855443075204,0.022794819450657724,0.0053617164348748496,0.0022530792510020103,2.9522555187039674,1.7182128851524678,3.105716855857697,1.8075273923825261,-1.494220781058483,1.201730000106935,0.009384839439745437,0.0006510471469081354,0.004295018533881718,0.008878895100602965,0.0008815989392384571,0.0004418338954713809,0.0003731264720827209,0.0003328620292966354,0.0036959946739525745,0.08405398863218118,0.005290038888015488,0.003833732900782529
K001,N09_M07_F10,15,899.771746210499,1.2379746618567549,1018.5805369081039,59.999765625915515,2.9178188147044266,1.7081624087610716,2.930766294449878,1.7157421796769077,-1.4939785897068083,1.196768719739013,0.0041439714219312,0.002950212685948368,0.002420112419525163,0.009695371029257806,0.0007985344018087534,0.000305411854447274,0.0003923287593964923,0.0003000839572181553,0.0031429903698072855,0.02277312585520306,0.00500493069747043,0.0029450458494150013,2.9522257334798807,1.718204217629523,2.8081631451168394,1.634359359791964,-1.4945660291748464,1.2024885442457296,0.009648638825375618,0.0004104720936338251,0.0033517747267739193,0.00903649691879787,0.000727300826298304,0.0004718624054901908,0.0004693132895927047,0.00036853411988397515,0.004546594504149188,0.08200181997892435,0.0048613974205411,0.0032472720944392666
K001,N09_M07_F10,16,899.7501421749255,1.2383499367026454,1018.9829241731848,59.999765625915515,2.9203074862634923,1.7088907180576212,2.942475583992921,1.7218629330127273,-1.494374898605527,1.1967833609300187,0.004969646760044769,0.0033630159585386187,0.0025607089025285164,0.009613259618799722,0.000773924081222864,0.0003749459134837022,0.000549513331806137,0.0004065379793733543,0.002946153047830827,0.023186691933862837,0.0049628114607765846,0.004064940077816321,2.9540256128294833,1.7187279054083817,2.98449127000031,1.7364536065359188,-1.4942409131091305,1.202292332746922,0.010143812553246511,0.0007101008096026621,0.0038183128530043654,0.008849812007468932,0.0006821264834138764,0.0004333969980807209,0.0005993066115152372,0.0003406586156667905,0.004359357513811112,0.08389657849333446,0.005176044520685679,0.002415383477090705
K001,N09_M07_F10,17,899.772987317449,1.2382071720319718,1020.2823005113537,59.999765625915515,2.9188775489351166,1.7084722850942349,2.9190570049068345,1.7085773239487037,-1.4942366982896471,1.1990545229695342,0.004853081705712639,0.002965031682071646,0.0028818390905961063,0.010250295225013663,0.000718116758055446,0.0004711121329979,0.00040292590614096234,0.0002420398357477762,0.002775110968155292,0.021952122755187067,0.004619357766396665,0.0029695661505110653,2.9523895915564795,1.718251899913537,2.990690305640745,1.7405424116168517,-1.4940330799879715,1.204511669039827,0.009953393451503879,0.0006032740316201243,0.003733193230588126,0.009304459172864701,0.0009105809286188818,0.000286660798665571,0.00032049363610973366,0.00022149574013562623,0.0037406026894270237,0.08394654457023717,0.0048210625755050335,0.002167881370216971
K001,N09_M07_F10,18,899.7569107578596,1.2390404427916744,1020.6156460710789,60.0,2.9216107618500646,1.7092719976206434,2.942475583992921,1.7214788448467728,-1.4939739422727638,1.1986443142675605,0.005030173491918738,0.002925876375302288,0.002667415543246587,0.010151690011241082,0.0006569302623756938,0.0005914640096215677,0.00059830428719715,0.00026890407635803647,0.00275464406475938,0.023554239492347414,0.00502442995037763,0.0032443002566230695,2.9564841045338803,1.7194429634430681,2.9417868022550944,1.7108952520090375,-1.4942088893691177,1.2043677289380694,0.009745650858015568,0.0004128092176342396,0.004330601494954229,0.009274979066910813,0.000976840632870886,0.00028868092792633775,0.0003819388861262091,0.00023232440090243273,0.0037762608802972123,0.08511853058077398,0.005107036901975447,0.0031173368503265683
